Season,Tillage,ACCase,PlantDensity,SSplants,RSplants,RRplants,SSseeds,RSseeds,RRseeds,SSrhizomes,RSrhizomes,RRrhizomes
1,0,1,0.369380078019119,3693.78751873411,0.00837565682951807,0.00488580025175804,99999.9951282052,0.00307692293814616,0.00179487187355306,9999.99951282052,0.000307692293814616,0.000179487187355306
2,0,1,0.266031466948534,2658.2173217575,0.965344449340481,1.13200327850405,2814921.98496281,2.73168791496957,3.49206603094293,2400.96188717717,0.00544417693918675,0.00317577016364272
3,0,1,0.288021851766022,2530.20185538699,121.690816707632,228.325845565594,3044384.71109029,349.121196041392,695.188623003235,1727.84125914237,0.627473892071313,0.735802131027631
4,0,1,6.06570822950916,2422.88464300486,15950.2130337206,42283.9846183661,3033623.18021742,47498.9439195804,131478.918021521,1644.63120600154,79.0990308599605,148.411799617636
5,0,1,162.657776076419,661.314134849321,273825.296812626,1352091.14981671,3542489.04818118,2899568.17250361,15694797.3218996,1574.87501795316,10367.6384719184,27484.590001938
6,0,1,196.674044152687,216.949336407335,207687.646834948,1758835.84535551,3392854.69545613,5567252.0717216,50544345.9686972,429.854187652059,177986.442928207,878859.247380862
7,0,1,200.83426630609,133.704135523355,143816.80431123,1864392.15461415,2553166.54327881,4893181.87633081,66173887.5382099,141.017068664768,134996.970442716,1143243.29948108
8,0,1,202.094586077289,89.1123559886348,101181.908366595,1919674.84005031,1821955.3770991,3730174.96256341,73257407.6395289,86.9076880901809,93480.9228022995,1211854.9004992
9,0,1,202.566671720252,61.2614377416849,71596.2829848481,1954009.17277993,1286570.15564677,2722282.61496528,76704479.0776198,57.9230313926126,65768.2404382869,1247788.6460327
10,0,1,202.767202612532,42.7377923623289,50741.8749314909,1976887.41340147,908031.707041303,1954959.61491118,78548729.9892683,39.8199345320952,46537.5839401513,1270105.96230696
11,0,1,202.862859766707,30.0331894478386,35969.7760568559,1992628.78842076,641676.905040472,1394539.24325822,79631935.4545056,27.7795650355138,32982.2187054691,1284976.81871095
12,0,1,202.914016887182,21.1830121634726,25493.7110189265,2003625.27484073,453947.294981203,991679.328989828,80316878.9344927,19.5215731410951,23380.3544369564,1295208.7124735
13,0,1,202.94423482485,14.9687094855699,18064.3371160362,2011363.04242298,321346.236194873,704057.589590346,80771965.5300819,13.7689579062572,16570.9121623023,1302356.42864648
14,0,1,202.963444041242,10.5874829621702,12797.2423072894,2016826.61062217,227547.642841103,499389.051194792,81083418.6677811,9.72966116562041,11741.8191254235,1307385.97757494
15,0,1,202.976246745315,7.49221139613458,9064.35094695169,2020690.62429481,161145.037013006,354010.272928873,81300110.0795709,6.8818639254106,8318.20749973809,1310937.29690441
16,0,1,202.985019724515,5.30313923793405,6419.51228779578,2023425.38181811,114120.668459234,250856.366161413,81452195.7094831,4.86993740748747,5891.8281155186,1313448.90579162
17,0,1,202.991124488515,3.75412949660642,4545.97965707632,2025361.51109858,80815.877304681,177713.411555918,81559419.2771996,3.44704050465713,4172.68298706726,1315226.49818177
18,0,1,202.995407707343,2.65773725113082,3219.02521661655,2026732.39411956,57228.0664845275,125874.010302393,81635185.3457186,2.44018417279417,2954.88677709961,1316484.98221408
19,0,1,202.998425970861,1.88160280169618,2279.29704669414,2027703.08105911,40523.0580712743,89144.8885515544,81688782.3239627,1.72752921323504,2092.36639080075,1317376.05617771
20,0,1,203.000557679421,1.33214104871804,1613.84950254796,2028390.39515062,28693.2024219111,63127.378667801,81726716.7639669,1.22304182110252,1481.54308035119,1318007.00268842
21,0,1,203.002065012321,0.943138469687267,1142.6544011289,2028877.05258361,20316.2171219502,44700.4077095708,81753572.0332883,0.865891681666723,1049.00217665617,1318453.7568479
22,0,1,203.003131497546,0.667731782204151,809.020460715811,2029221.62678296,14384.5648187344,31650.8745297261,81772585.7631141,0.613040005296724,742.725360733785,1318770.08417934
23,0,1,203.003886306525,0.472747438811749,572.794680005533,2029465.59563781,10184.5813616569,22410.2215406202,81786048.0545615,0.434025658432698,525.863299465277,1318994.05740892
24,0,1,203.004420612108,0.334700609776473,405.541037257929,2029638.33038321,7210.81204532935,15867.0731105938,81795579.7962219,0.307285835227637,372.316542003596,1319152.63716458
25,0,1,203.004798861856,0.236964803771766,287.123053195197,2029760.62860056,5105.29918473159,11234.1594933161,81802328.5319816,0.217555396354707,263.601674217654,1319264.91474909
26,0,1,203.00506664685,0.167768780813716,203.282267133404,2029847.21643259,3614.55930592532,7953.8877149881,81807106.7744237,0.154027122451648,186.629984576878,1319344.40859036
27,0,1,203.005256231598,0.11877865307302,143.922812214043,2029908.52072512,2559.10116607911,5631.38037224088,81810489.8342943,0.109049707528915,132.133473636713,1319400.69068118
28,0,1,203.005390454137,0.0840941121948143,101.896405258239,2029951.924042,1811.83265933681,3987.01452530996,81812885.0662909,0.0772061244974629,93.5498279391279,1319440.53847133
29,0,1,203.005485481787,0.0595377938710703,72.1418777981368,2029982.65340228,1282.76666101993,2822.79303366449,81814580.8975306,0.0546611729266293,66.2326634178553,1319468.7506273
30,0,1,203.005552760208,0.0421521615642947,51.0758453927151,2030004.40960453,908.189545103016,1998.52243095762,81815781.5449731,0.0386995660161957,46.892220568789,1319488.72471148
