Season,Run,Tillage,ACCase,PlantDensity,SSplants,RSplants,RRplants,SSseeds,RSseeds,RRseeds,SSrhizomes,RSrhizomes,RRrhizomes
1,1,0,1,0.3702,3702,0,0,100000,0,0,10000,0,0
1,2,0,1,0.3783,3783,0,0,100000,0,0,10000,0,0
1,3,0,1,0.3622,3622,0,0,100000,0,0,10000,0,0
1,4,0,1,0.3632,3632,0,0,100000,0,0,10000,0,0
1,5,0,1,0.3718,3718,0,0,100000,0,0,10000,0,0
1,6,0,1,0.373,3730,0,0,100000,0,0,10000,0,0
1,7,0,1,0.3668,3668,0,0,100000,0,0,10000,0,0
1,8,0,1,0.3759,3759,0,0,100000,0,0,10000,0,0
1,9,0,1,0.3685,3685,0,0,100000,0,0,10000,0,0
1,10,0,1,0.3772,3772,0,0,100000,0,0,10000,0,0
1,11,0,1,0.3659,3659,0,0,100000,0,0,10000,0,0
1,12,0,1,0.3689,3689,0,0,100000,0,0,10000,0,0
1,13,0,1,0.3662,3662,0,0,100000,0,0,10000,0,0
1,14,0,1,0.3705,3705,0,0,100000,0,0,10000,0,0
1,15,0,1,0.3678,3678,0,0,100000,0,0,10000,0,0
1,16,0,1,0.3663,3663,0,0,100000,0,0,10000,0,0
1,17,0,1,0.3809,3809,0,0,100000,0,0,10000,0,0
1,18,0,1,0.3625,3625,0,0,100000,0,0,10000,0,0
1,19,0,1,0.3665,3665,0,0,100000,0,0,10000,0,0
1,20,0,1,0.3742,3742,0,0,100000,0,0,10000,0,0
1,21,0,1,0.3622,3622,0,0,100000,0,0,10000,0,0
1,22,0,1,0.3848,3848,0,0,100000,0,0,10000,0,0
1,23,0,1,0.3676,3676,0,0,100000,0,0,10000,0,0
1,24,0,1,0.3633,3633,0,0,100000,0,0,10000,0,0
1,25,0,1,0.3662,3662,0,0,100000,0,0,10000,0,0
1,26,0,1,0.3615,3615,0,0,100000,0,0,10000,0,0
1,27,0,1,0.3705,3705,0,0,100000,0,0,10000,0,0
1,28,0,1,0.3643,3643,0,0,100000,0,0,10000,0,0
1,29,0,1,0.3759,3759,0,0,100000,0,0,10000,0,0
1,30,0,1,0.3639,3639,0,0,100000,0,0,10000,0,0
1,31,0,1,0.3795,3795,0,0,100000,0,0,10000,0,0
1,32,0,1,0.3673,3673,0,0,100000,0,0,10000,0,0
1,33,0,1,0.3613,3613,0,0,100000,0,0,10000,0,0
1,34,0,1,0.3664,3664,0,0,100000,0,0,10000,0,0
1,35,0,1,0.3753,3753,0,0,100000,0,0,10000,0,0
1,36,0,1,0.3726,3726,0,0,100000,0,0,10000,0,0
1,37,0,1,0.368,3680,0,0,100000,0,0,10000,0,0
1,38,0,1,0.3801,3801,0,0,100000,0,0,10000,0,0
1,39,0,1,0.3685,3685,0,0,100000,0,0,10000,0,0
1,40,0,1,0.3674,3674,0,0,100000,0,0,10000,0,0
1,41,0,1,0.3717,3717,0,0,100000,0,0,10000,0,0
1,42,0,1,0.3572,3572,0,0,100000,0,0,10000,0,0
1,43,0,1,0.3781,3781,0,0,100000,0,0,10000,0,0
1,44,0,1,0.3552,3552,0,0,100000,0,0,10000,0,0
1,45,0,1,0.3633,3633,0,0,100000,0,0,10000,0,0
1,46,0,1,0.3552,3552,0,0,100000,0,0,10000,0,0
1,47,0,1,0.3606,3606,0,0,100000,0,0,10000,0,0
1,48,0,1,0.3674,3674,0,0,100000,0,0,10000,0,0
1,49,0,1,0.3779,3779,0,0,100000,0,0,10000,0,0
1,50,0,1,0.378,3780,0,0,100000,0,0,10000,0,0
1,51,0,1,0.3804,3804,0,0,100000,0,0,10000,0,0
1,52,0,1,0.3638,3638,0,0,100000,0,0,10000,0,0
1,53,0,1,0.3773,3773,0,0,100000,0,0,10000,0,0
1,54,0,1,0.3652,3652,0,0,100000,0,0,10000,0,0
1,55,0,1,0.3606,3606,0,0,100000,0,0,10000,0,0
1,56,0,1,0.3596,3596,0,0,100000,0,0,10000,0,0
1,57,0,1,0.3706,3706,0,0,100000,0,0,10000,0,0
1,58,0,1,0.3762,3762,0,0,100000,0,0,10000,0,0
1,59,0,1,0.3822,3822,0,0,100000,0,0,10000,0,0
1,60,0,1,0.369,3690,0,0,100000,0,0,10000,0,0
1,61,0,1,0.392,3920,0,0,100000,0,0,10000,0,0
1,62,0,1,0.3649,3649,0,0,100000,0,0,10000,0,0
1,63,0,1,0.3789,3789,0,0,100000,0,0,10000,0,0
1,64,0,1,0.3661,3661,0,0,100000,0,0,10000,0,0
1,65,0,1,0.3691,3691,0,0,100000,0,0,10000,0,0
1,66,0,1,0.3603,3603,0,0,100000,0,0,10000,0,0
1,67,0,1,0.3768,3768,0,0,100000,0,0,10000,0,0
1,68,0,1,0.3675,3675,0,0,100000,0,0,10000,0,0
1,69,0,1,0.3714,3714,0,0,100000,0,0,10000,0,0
1,70,0,1,0.3746,3746,0,0,100000,0,0,10000,0,0
1,71,0,1,0.3688,3688,0,0,100000,0,0,10000,0,0
1,72,0,1,0.3693,3693,0,0,100000,0,0,10000,0,0
1,73,0,1,0.36,3600,0,0,100000,0,0,10000,0,0
1,74,0,1,0.3617,3617,0,0,100000,0,0,10000,0,0
1,75,0,1,0.37,3700,0,0,100000,0,0,10000,0,0
1,76,0,1,0.3635,3635,0,0,100000,0,0,10000,0,0
1,77,0,1,0.3759,3759,0,0,100000,0,0,10000,0,0
1,78,0,1,0.3681,3681,0,0,100000,0,0,10000,0,0
1,79,0,1,0.3792,3792,0,0,100000,0,0,10000,0,0
1,80,0,1,0.3688,3688,0,0,100000,0,0,10000,0,0
1,81,0,1,0.361,3610,0,0,100000,0,0,10000,0,0
1,82,0,1,0.3642,3642,0,0,100000,0,0,10000,0,0
1,83,0,1,0.3678,3678,0,0,100000,0,0,10000,0,0
1,84,0,1,0.3778,3778,0,0,100000,0,0,10000,0,0
1,85,0,1,0.3735,3735,0,0,100000,0,0,10000,0,0
1,86,0,1,0.3596,3596,0,0,100000,0,0,10000,0,0
1,87,0,1,0.3762,3762,0,0,100000,0,0,10000,0,0
1,88,0,1,0.3746,3746,0,0,100000,0,0,10000,0,0
1,89,0,1,0.3832,3832,0,0,100000,0,0,10000,0,0
1,90,0,1,0.3696,3696,0,0,100000,0,0,10000,0,0
1,91,0,1,0.3704,3704,0,0,100000,0,0,10000,0,0
1,92,0,1,0.3778,3778,0,0,100000,0,0,10000,0,0
1,93,0,1,0.3674,3674,0,0,100000,0,0,10000,0,0
1,94,0,1,0.3673,3673,0,0,100000,0,0,10000,0,0
1,95,0,1,0.3757,3757,0,0,100000,0,0,10000,0,0
1,96,0,1,0.3766,3766,0,0,100000,0,0,10000,0,0
1,97,0,1,0.3684,3684,0,0,100000,0,0,10000,0,0
1,98,0,1,0.3744,3744,0,0,100000,0,0,10000,0,0
1,99,0,1,0.3704,3704,0,0,100000,0,0,10000,0,0
1,100,0,1,0.3701,3701,0,0,100000,0,0,10000,0,0
1,101,0,1,0.3711,3711,0,0,100000,0,0,10000,0,0
1,102,0,1,0.3604,3604,0,0,100000,0,0,10000,0,0
1,103,0,1,0.371,3710,0,0,100000,0,0,10000,0,0
1,104,0,1,0.3712,3712,0,0,100000,0,0,10000,0,0
1,105,0,1,0.3613,3613,0,0,100000,0,0,10000,0,0
1,106,0,1,0.3712,3712,0,0,100000,0,0,10000,0,0
1,107,0,1,0.371,3710,0,0,100000,0,0,10000,0,0
1,108,0,1,0.371,3710,0,0,100000,0,0,10000,0,0
1,109,0,1,0.3575,3575,0,0,100000,0,0,10000,0,0
1,110,0,1,0.3616,3616,0,0,100000,0,0,10000,0,0
1,111,0,1,0.3666,3666,0,0,100000,0,0,10000,0,0
1,112,0,1,0.3694,3694,0,0,100000,0,0,10000,0,0
1,113,0,1,0.3745,3745,0,0,100000,0,0,10000,0,0
1,114,0,1,0.3758,3758,0,0,100000,0,0,10000,0,0
1,115,0,1,0.3667,3667,0,0,100000,0,0,10000,0,0
1,116,0,1,0.3711,3711,0,0,100000,0,0,10000,0,0
1,117,0,1,0.3741,3741,0,0,100000,0,0,10000,0,0
1,118,0,1,0.3754,3754,0,0,100000,0,0,10000,0,0
1,119,0,1,0.3696,3696,0,0,100000,0,0,10000,0,0
1,120,0,1,0.3669,3669,0,0,100000,0,0,10000,0,0
1,121,0,1,0.3766,3766,0,0,100000,0,0,10000,0,0
1,122,0,1,0.3697,3697,0,0,100000,0,0,10000,0,0
1,123,0,1,0.3605,3605,0,0,100000,0,0,10000,0,0
1,124,0,1,0.3696,3696,0,0,100000,0,0,10000,0,0
1,125,0,1,0.3751,3751,0,0,100000,0,0,10000,0,0
1,126,0,1,0.3694,3694,0,0,100000,0,0,10000,0,0
1,127,0,1,0.3651,3651,0,0,100000,0,0,10000,0,0
1,128,0,1,0.3831,3831,0,0,100000,0,0,10000,0,0
1,129,0,1,0.3673,3673,0,0,100000,0,0,10000,0,0
1,130,0,1,0.3655,3655,0,0,100000,0,0,10000,0,0
1,131,0,1,0.3603,3603,0,0,100000,0,0,10000,0,0
1,132,0,1,0.3629,3629,0,0,100000,0,0,10000,0,0
1,133,0,1,0.3728,3728,0,0,100000,0,0,10000,0,0
1,134,0,1,0.377,3770,0,0,100000,0,0,10000,0,0
1,135,0,1,0.3648,3636,12,0,100000,0,0,9999,1,0
1,136,0,1,0.3725,3725,0,0,100000,0,0,10000,0,0
1,137,0,1,0.3752,3752,0,0,100000,0,0,10000,0,0
1,138,0,1,0.3727,3727,0,0,100000,0,0,10000,0,0
1,139,0,1,0.3514,3514,0,0,100000,0,0,10000,0,0
1,140,0,1,0.3735,3735,0,0,100000,0,0,10000,0,0
1,141,0,1,0.3751,3751,0,0,100000,0,0,10000,0,0
1,142,0,1,0.3775,3775,0,0,100000,0,0,10000,0,0
1,143,0,1,0.3594,3594,0,0,100000,0,0,10000,0,0
1,144,0,1,0.3686,3686,0,0,100000,0,0,10000,0,0
1,145,0,1,0.3789,3789,0,0,100000,0,0,10000,0,0
1,146,0,1,0.3609,3609,0,0,100000,0,0,10000,0,0
1,147,0,1,0.3674,3674,0,0,100000,0,0,10000,0,0
1,148,0,1,0.366,3660,0,0,100000,0,0,10000,0,0
1,149,0,1,0.3634,3634,0,0,100000,0,0,10000,0,0
1,150,0,1,0.371,3710,0,0,100000,0,0,10000,0,0
1,151,0,1,0.366,3660,0,0,100000,0,0,10000,0,0
1,152,0,1,0.3674,3674,0,0,100000,0,0,10000,0,0
1,153,0,1,0.3667,3667,0,0,100000,0,0,10000,0,0
1,154,0,1,0.3713,3713,0,0,100000,0,0,10000,0,0
1,155,0,1,0.3751,3751,0,0,100000,0,0,10000,0,0
1,156,0,1,0.365,3650,0,0,100000,0,0,10000,0,0
1,157,0,1,0.3677,3676,0,1,99999,0,1,10000,0,0
1,158,0,1,0.3837,3837,0,0,100000,0,0,10000,0,0
1,159,0,1,0.3665,3665,0,0,100000,0,0,10000,0,0
1,160,0,1,0.3684,3684,0,0,100000,0,0,10000,0,0
1,161,0,1,0.3725,3725,0,0,100000,0,0,10000,0,0
1,162,0,1,0.3729,3729,0,0,100000,0,0,10000,0,0
1,163,0,1,0.3676,3676,0,0,100000,0,0,10000,0,0
1,164,0,1,0.3669,3669,0,0,100000,0,0,10000,0,0
1,165,0,1,0.3759,3759,0,0,100000,0,0,10000,0,0
1,166,0,1,0.3594,3594,0,0,100000,0,0,10000,0,0
1,167,0,1,0.3762,3762,0,0,100000,0,0,10000,0,0
1,168,0,1,0.3696,3696,0,0,100000,0,0,10000,0,0
1,169,0,1,0.3709,3709,0,0,100000,0,0,10000,0,0
1,170,0,1,0.3575,3575,0,0,100000,0,0,10000,0,0
1,171,0,1,0.3736,3736,0,0,100000,0,0,10000,0,0
1,172,0,1,0.3606,3606,0,0,100000,0,0,10000,0,0
1,173,0,1,0.3898,3898,0,0,100000,0,0,10000,0,0
1,174,0,1,0.374,3740,0,0,100000,0,0,10000,0,0
1,175,0,1,0.3549,3549,0,0,100000,0,0,10000,0,0
1,176,0,1,0.3714,3714,0,0,100000,0,0,10000,0,0
1,177,0,1,0.3592,3592,0,0,100000,0,0,10000,0,0
1,178,0,1,0.3698,3698,0,0,100000,0,0,10000,0,0
1,179,0,1,0.3627,3627,0,0,100000,0,0,10000,0,0
1,180,0,1,0.3673,3673,0,0,100000,0,0,10000,0,0
1,181,0,1,0.3746,3746,0,0,100000,0,0,10000,0,0
1,182,0,1,0.3592,3592,0,0,100000,0,0,10000,0,0
1,183,0,1,0.3592,3592,0,0,100000,0,0,10000,0,0
1,184,0,1,0.3699,3699,0,0,100000,0,0,10000,0,0
1,185,0,1,0.3666,3666,0,0,100000,0,0,10000,0,0
1,186,0,1,0.3724,3724,0,0,100000,0,0,10000,0,0
1,187,0,1,0.3741,3741,0,0,100000,0,0,10000,0,0
1,188,0,1,0.3723,3723,0,0,100000,0,0,10000,0,0
1,189,0,1,0.375,3750,0,0,100000,0,0,10000,0,0
1,190,0,1,0.3736,3736,0,0,100000,0,0,10000,0,0
1,191,0,1,0.3698,3698,0,0,100000,0,0,10000,0,0
1,192,0,1,0.3757,3757,0,0,100000,0,0,10000,0,0
1,193,0,1,0.3647,3647,0,0,100000,0,0,10000,0,0
1,194,0,1,0.3665,3665,0,0,100000,0,0,10000,0,0
1,195,0,1,0.371,3710,0,0,100000,0,0,10000,0,0
1,196,0,1,0.352,3520,0,0,100000,0,0,10000,0,0
1,197,0,1,0.3709,3709,0,0,100000,0,0,10000,0,0
1,198,0,1,0.3775,3775,0,0,100000,0,0,10000,0,0
1,199,0,1,0.3726,3726,0,0,100000,0,0,10000,0,0
1,200,0,1,0.3701,3701,0,0,100000,0,0,10000,0,0
1,201,0,1,0.3729,3729,0,0,100000,0,0,10000,0,0
1,202,0,1,0.3653,3653,0,0,100000,0,0,10000,0,0
1,203,0,1,0.3798,3798,0,0,100000,0,0,10000,0,0
1,204,0,1,0.3754,3754,0,0,100000,0,0,10000,0,0
1,205,0,1,0.3651,3651,0,0,100000,0,0,10000,0,0
1,206,0,1,0.3683,3683,0,0,100000,0,0,10000,0,0
1,207,0,1,0.3724,3724,0,0,100000,0,0,10000,0,0
1,208,0,1,0.3661,3661,0,0,100000,0,0,10000,0,0
1,209,0,1,0.3611,3611,0,0,100000,0,0,10000,0,0
1,210,0,1,0.3597,3597,0,0,100000,0,0,10000,0,0
1,211,0,1,0.3806,3806,0,0,100000,0,0,10000,0,0
1,212,0,1,0.374,3740,0,0,100000,0,0,10000,0,0
1,213,0,1,0.368,3680,0,0,100000,0,0,10000,0,0
1,214,0,1,0.3674,3674,0,0,100000,0,0,10000,0,0
1,215,0,1,0.3654,3654,0,0,100000,0,0,10000,0,0
1,216,0,1,0.3752,3752,0,0,100000,0,0,10000,0,0
1,217,0,1,0.3642,3642,0,0,100000,0,0,10000,0,0
1,218,0,1,0.3719,3719,0,0,100000,0,0,10000,0,0
1,219,0,1,0.3678,3678,0,0,100000,0,0,10000,0,0
1,220,0,1,0.3685,3685,0,0,100000,0,0,10000,0,0
1,221,0,1,0.3748,3748,0,0,100000,0,0,10000,0,0
1,222,0,1,0.3763,3763,0,0,100000,0,0,10000,0,0
1,223,0,1,0.3684,3684,0,0,100000,0,0,10000,0,0
1,224,0,1,0.3703,3703,0,0,100000,0,0,10000,0,0
1,225,0,1,0.374,3740,0,0,100000,0,0,10000,0,0
1,226,0,1,0.3621,3621,0,0,100000,0,0,10000,0,0
1,227,0,1,0.372,3720,0,0,100000,0,0,10000,0,0
1,228,0,1,0.3706,3706,0,0,100000,0,0,10000,0,0
1,229,0,1,0.3641,3641,0,0,100000,0,0,10000,0,0
1,230,0,1,0.3566,3566,0,0,100000,0,0,10000,0,0
1,231,0,1,0.3711,3711,0,0,100000,0,0,10000,0,0
1,232,0,1,0.3702,3702,0,0,100000,0,0,10000,0,0
1,233,0,1,0.3749,3749,0,0,100000,0,0,10000,0,0
1,234,0,1,0.3723,3723,0,0,100000,0,0,10000,0,0
1,235,0,1,0.3687,3687,0,0,100000,0,0,10000,0,0
1,236,0,1,0.3585,3585,0,0,100000,0,0,10000,0,0
1,237,0,1,0.3714,3714,0,0,100000,0,0,10000,0,0
1,238,0,1,0.3625,3625,0,0,100000,0,0,10000,0,0
1,239,0,1,0.3806,3806,0,0,100000,0,0,10000,0,0
1,240,0,1,0.3638,3638,0,0,100000,0,0,10000,0,0
1,241,0,1,0.3655,3655,0,0,100000,0,0,10000,0,0
