Season,Run,Herb1,Herb2,Tillage,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
1,1,1,1,0,0.0362,362,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0
1,2,1,1,0,0.0335,335,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0
1,3,1,1,0,0.0361,361,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0
1,4,1,1,0,0.0361,361,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0
1,5,1,1,0,0.0388,388,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0
1,6,1,1,0,0.0344,344,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0
1,7,1,1,0,0.0392,392,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0
1,8,1,1,0,0.0361,357,0,4,0,0,0,0,0,0,0.0110803324099723,0,9999,0,1,0,0,0,0,0,0,0.0001,0,100000,0,0,0,0,0,0,0,0,0,0
1,9,1,1,0,0.0406,406,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0
1,10,1,1,0,0.0373,373,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0
