Tillage,CycleLength,AverageResistanceYear,FractionResistance,AverageEscapeYear,FractionEscapes,AverageSingleResistanceYear,FractionSingleResistance,AverageDoubleResistanceYear,FractionDoubleResistance,AverageFullDoubleResistanceYear,FractionFullDoubleResistance,FinalDensityEscapes
0,1,23.0688927465196,0.29379,24.207110550121,0.28521,23.0688927465196,0.29379,29.5302507380764,0.24049,NaN,0,157.881346930332
1,1,11.045780618234,0.07667,12.8746732880293,0.07652,11.045780618234,0.07667,21.8737292669877,0.07476,NaN,0,188.181124255097
0,2,23.0293753439736,0.29072,24.209524145971,0.28307,23.0293753439736,0.29072,29.6236050770934,0.23478,NaN,0,161.557169067722
1,2,11.0040940306392,0.07572,12.8607327073138,0.07561,11.0040940306392,0.07572,22.2857918306419,0.07369,NaN,0,190.224102790636
0,3,22.918609842371,0.29119,24.0559065400769,0.28333,22.918609842371,0.29119,30.1039955509925,0.23376,NaN,0,158.218105685949
1,3,11.1517730496454,0.07755,12.9564430657878,0.07737,11.1517730496454,0.07755,23.1674190122146,0.07532,NaN,0,188.396059105596
0,4,22.9628011739813,0.29302,24.0190746321574,0.28205,22.9628011739813,0.29302,30.3085560100966,0.22978,NaN,0,155.714020156001
1,4,11.1140859931417,0.07582,12.8652614727855,0.07496,11.1140859931417,0.07582,23.5024944567628,0.07216,NaN,0,186.811415288154
0,5,22.9486996430393,0.29415,24.0048456568557,0.2786,22.9486996430393,0.29415,29.7955862068966,0.2175,NaN,0,164.244131593683
1,5,11.2010507432086,0.07804,12.735407525595,0.07521,11.2010507432086,0.07804,23.4460199354205,0.07123,NaN,0,191.086427283606
0,6,22.9301191579959,0.29121,23.6867759724638,0.27019,22.9301191579959,0.29121,30.4800795890981,0.21611,NaN,0,149.314562200674
1,6,11.0848982785603,0.07668,12.3132112128782,0.07206,11.0848982785603,0.07668,23.5771370023419,0.06832,NaN,0,181.285513502637
0,7,22.9747104379412,0.29182,23.5810512945044,0.26767,22.9747104379412,0.29182,30.2424978565304,0.20994,NaN,0,124.068300474465
1,7,11.2002572347267,0.07775,12.2245205479452,0.073,11.2002572347267,0.07775,23.5685701767197,0.06847,NaN,0,146.513776780822
0,8,22.9556727870649,0.29192,23.5681139958221,0.26808,22.9556727870649,0.29192,30.5473924628854,0.21016,NaN,0,141.131412649209
1,8,11.1062401263823,0.07596,12.0522262671521,0.07142,11.1062401263823,0.07596,23.4604966139955,0.06645,NaN,0,174.242142705125
0,9,22.9717552809066,0.29209,23.6857965876357,0.27078,22.9717552809066,0.29209,30.1153846153846,0.2041,NaN,0,148.813784869636
1,9,10.9237602757889,0.07542,11.807298245614,0.07125,10.9237602757889,0.07542,23.3396255371393,0.06516,NaN,0,175.135406792982
0,10,23.0684889952476,0.29669,23.8000361467558,0.27665,23.0684889952476,0.29669,29.1139631977733,0.19401,NaN,0,175.138215998554
1,10,11.0300182719916,0.07662,11.8829100892244,0.07285,11.0300182719916,0.07662,22.8641591544918,0.06434,NaN,0,195.924481496225
