Season,Tillage,Herb1,Herb2,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
1,0,1,1,0.00547189453982851,54.7186324878,6.52978477001647e-05,9.11571513477351e-05,6.52978477001647e-05,8.4722691164103e-11,1.18415034450719e-10,9.11571513477351e-05,1.18415034450719e-10,1.65508744614756e-10,2.26258857493148e-06,2.26258857493148e-06,99999.9881159424,0.00347826052780589,0.00246376807263232,0.00347826052780589,1.20982977370612e-10,8.56962825512494e-11,0.00246376807263232,8.56962825512495e-11,6.07015383710295e-11,4.20289858627271e-08,4.20289858627271e-08,9999.99881159424,0.000347826052780589,0.000246376807263232,0.000347826052780589,1.20982977370612e-11,8.56962825512495e-12,0.000246376807263232,8.56962825512495e-12,6.07015383710295e-12,4.20289858627271e-08,4.20289858627271e-08
2,0,1,1,3.18975517171496e-05,0.318818849162577,1.83805309956617e-05,5.99306015324577e-05,1.83805309956617e-05,3.94348115985271e-09,6.04381283477459e-09,5.99306015324577e-05,6.04381283477458e-09,2.97127555188148e-08,0.00021682421854482,0.00021682421854482,79057.1988074795,0.0310666258880857,0.0584305295998817,0.0310666258880857,4.70988733961038e-08,3.29385988110436e-08,0.0584305295998817,3.29385988110436e-08,8.90071601662005e-08,9.35573713229779e-07,9.35573713229779e-07,35.56711111707,4.24436010051071e-05,5.92521483760278e-05,4.24436010051071e-05,5.5069749256667e-11,7.69697723929671e-11,5.92521483760278e-05,7.69697723929671e-11,1.07580683999591e-10,2.26258857493148e-06,2.26258857493148e-06
3,0,1,1,3.62584486677618e-06,0.0361361575540694,9.08060284967636e-06,4.95110431603624e-05,9.08060284967636e-06,2.86132546945316e-07,2.97700470034687e-07,4.95110431603624e-05,2.97700470034687e-07,4.22628818537301e-06,0.00162354573656755,0.00162354573656755,29025.4992722719,0.0217366417303506,0.0552500699093156,0.0217366417303506,3.55440083279301e-06,1.60929458254173e-06,0.0552500699093156,1.60929458254173e-06,1.22850594316993e-05,2.27849710643799e-06,2.27849710643799e-06,0.207232251955675,1.19473451471801e-05,3.89548909960975e-05,1.19473451471801e-05,2.56326275390426e-09,3.92847834260348e-09,3.89548909960975e-05,3.92847834260348e-09,1.93132910872296e-08,0.00021682421854482,0.00021682421854482
4,0,1,1,1.35723523241189e-06,0.0128601374727794,5.58805578741955e-06,4.18766449099425e-05,5.58805578741955e-06,2.48478689773041e-05,1.56285235907146e-05,4.18766449099425e-05,1.56285235907146e-05,0.000561180533786055,0.0472812605464169,0.0472812605464169,10593.4667004893,0.0144043960570314,0.0472668921439798,0.0144043960570314,0.000312171618273235,8.56873871766961e-05,0.0472668921439798,8.56873871766961e-05,0.00161420706721252,5.32094433883413e-06,5.32094433883413e-06,0.0234885024101451,5.90239185228963e-06,3.21821780542355e-05,5.90239185228963e-06,1.85986155514455e-07,1.93505305522547e-07,3.21821780542355e-05,1.93505305522547e-07,2.74708732049246e-06,0.00162354573656755,0.00162354573656755
5,0,1,1,8.23931938273519e-06,0.00469189788164647,4.48564134054432e-06,3.68527727536766e-05,4.48564134054432e-06,0.00280423710107448,0.000934392490444212,3.68527727536766e-05,0.000934392490444212,0.0729455970355541,0.91983811276924,0.91983811276924,3866.02983463444,0.0123467413653002,0.0423674193751455,0.0123467413653002,0.0356939115240926,0.0052564184090819,0.0423674193751455,0.0052564184090819,0.209107051462588,7.32929397841841e-05,7.32929397841841e-05,0.0083590893573066,3.63223626182271e-06,2.72198191914626e-05,3.63223626182271e-06,1.61511148352476e-05,1.01585403339645e-05,2.72198191914626e-05,1.01585403339645e-05,0.000364767346960936,0.0472812605464168,0.0472812605464168
6,0,1,1,0.000999248441360837,0.00171218963524048,6.03259893659285e-05,0.000149579189613684,6.03259893659285e-05,0.0633647115568069,0.0755539355569511,0.000149579189613684,0.0755539355569511,9.77587983094446,0.992853470827682,0.992853470827682,1410.82008842661,0.198618727506835,0.23253178389808,0.198618727506835,0.666930705211859,0.445267928146029,0.23253178389808,0.44526792814603,28.1610515379321,0.0204622182322366,0.0204622182322366,0.0030497336230702,2.91566687135381e-06,2.39543022898898e-05,2.91566687135381e-06,0.00182275411569841,0.000607355118788738,2.39543022898898e-05,0.000607355118788738,0.0474146380731101,0.91983811276924,0.91983811276924
7,0,1,1,0.131602212298082,0.000626971893540827,0.00131110902311917,0.00641252970093907,0.00131110902311917,1.01768068025038,4.21002301341181,0.00641252970093907,4.21002301341181,1306.5683220244,0.998006980303629,0.998006980303629,516.947042922549,4.33644912641594,10.6258948022677,4.33644912641594,9.57892464808246,23.3849549072709,10.6258948022677,23.3849549072709,3764.82377473763,0.873957426175162,0.873957426175162,0.00111292326290631,3.92118930878536e-05,9.72264732488948e-05,3.92118930878536e-05,0.0411870625119245,0.0491100581120182,9.72264732488948e-05,0.0491100581120182,6.3543218901139,0.992853470827682,0.992853470827682
8,0,1,1,15.9920269564715,0.000250104162095759,0.0194640027485809,0.279283832527414,0.0194640027485809,14.844581136423,187.723718420056,0.279283832527414,187.723718420056,159529.379800964,0.999364727936017,0.999364727936017,222.646277516906,69.2298053273012,499.081324137551,69.2298053273013,150.06312168605,1091.53996832305,499.081324137551,1091.53996832305,495213.666553322,0.997100909533877,0.997100909533877,0.000407531730801538,0.000852220865027463,0.0041681443056104,0.000852220865027463,0.661492442162747,2.73651495871768,0.0041681443056104,2.73651495871768,849.269409315861,0.998006980303629,0.998006980303629
9,0,1,1,173.552546705146,6.96467441943301e-05,0.0262270219959652,1.06911853921446,0.0262270219959652,19.7684251832217,721.53627557356,1.06911853921446,721.53627557356,1734060.43531436,0.999785793475144,0.999785793475144,274.575186941741,409.806081482792,8390.97309024557,409.806081482792,887.943748527832,18299.992874209,8390.97309024557,18299.992874209,23654633.9240512,0.999203954984683,0.999203954984683,0.000162567705362243,0.0126516017865776,0.181534491142819,0.0126516017865776,9.64897773867493,122.020416973036,0.181534491142819,122.020416973036,103694.096870626,0.999364727936017,0.999364727936017
10,0,1,1,192.092442075765,2.07705384438837e-05,0.00847880317940994,0.569331783958937,0.00847880317940994,5.22879890994357,355.799208206728,0.569331783958937,355.799208206728,1920206.43790038,0.999905724518695,0.999905724518695,136.435108463836,221.696191870737,7453.72938017184,221.696191870737,480.357850551111,16245.794755477,7453.72938017184,16245.794755477,44726396.6087727,0.999636273869049,0.999636273869049,4.52703837263145e-05,0.0170475642973773,0.6949270504894,0.0170475642973773,12.8494763690941,468.998579122814,0.6949270504894,468.998579122814,1127139.28295433,0.999785793475143,0.999785793475143
