Season,Tillage,Herb1,Herb2,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
1,1,1,0,0.296800690482897,2967.99013977269,0.00689454623453102,0.00969415021809552,0.000103234441769325,2.39810308746215e-10,3.37187840613822e-10,7.31244021527409e-05,1.69865649066181e-10,2.38841406370504e-10,4.42769324250798e-06,4.20289858627272e-08,99999.9881159424,0.00347826052780589,0.00246376807263232,0.00347826052780589,1.20982977370612e-10,8.56962825512494e-11,0.00246376807263232,8.56962825512495e-11,6.07015383710295e-11,4.20289858627271e-08,4.20289858627271e-08,9999.99881159424,0.000347826052780589,0.000246376807263232,0.000347826052780589,1.20982977370612e-11,8.56962825512495e-12,0.000246376807263232,8.56962825512495e-12,6.07015383710295e-12,4.20289858627271e-08,4.20289858627271e-08
2,1,1,0,0.175926431423393,1756.81570430042,0.510290828709522,1.93821222988112,6.51014912441389e-05,2.54760774114645e-08,6.74161070351834e-08,4.16234156316256e-05,9.36074298534595e-09,4.77530479652608e-08,0.0012467471539537,4.22208991201037e-08,2284703.12060437,3.02065482966845,5.93865361621231,0.0861313594311705,1.56516787087138e-07,2.06561962859874e-07,0.0535201547288386,5.3036633276545e-08,1.46314629732391e-07,3.26035875543154e-06,4.22750027368681e-08,1187.19605590908,0.00275781849381241,0.00387766008723821,4.12937767077299e-05,9.5924123498486e-11,1.34875136245529e-10,2.92497608610964e-05,6.79462596264722e-11,9.55365625482016e-11,4.42769324250798e-06,4.20289858627271e-08
3,1,1,0,0.193985157252507,1537.63338801287,49.7793700197146,352.438694998498,5.86154088832654e-05,3.24459553834619e-06,1.24123963258547e-05,3.59300502245064e-05,6.36928675304306e-07,8.65460118096448e-06,0.194514058890059,4.2455712396235e-08,2178260.75590703,303.241957647518,1069.16904724138,0.0834479439124536,2.01961228462514e-05,3.77011360347441e-05,0.050773812556385,3.72323202794867e-06,2.62461920830734e-05,0.00056008967255546,4.24643459586947e-08,702.726281720169,0.204116331483809,0.775284891952449,2.60405964976556e-05,1.01904309645858e-08,2.69664428140734e-08,1.66493662526503e-05,3.74429719413838e-09,1.91012191861043e-08,0.0012467471539537,4.22208991201037e-08
4,1,1,0,6.75946200473865,1340.03774210672,5549.66675025221,60704.9113408742,5.15567735409978e-05,0.000408814965187713,0.00218737191052179,3.13397146496933e-05,5.64217238693635e-05,0.00147864828202753,0.939124276016894,4.27590471422968e-08,1966316.54858132,35343.4010987316,189402.948081988,0.075771767372648,0.00262690647416468,0.0068404960191594,0.0459933983626811,0.000352094783083357,0.00460963042769041,0.094508765088822,4.27074470502457e-08,615.053355205149,19.9117480078858,140.975477999399,2.34461635533062e-05,1.29783821533847e-06,4.96495853034188e-06,1.43720200898026e-05,2.54771470121722e-07,3.46184047238579e-06,0.194514058890059,4.24557123962349e-08
5,1,1,0,166.962919028906,291.315347573709,50242.3857327137,1619095.38500383,1.20484846428257e-05,0.00298724202578612,0.0621388558497291,6.84854195226439e-06,0.000933765880667622,0.0381261894615583,0.984779548452353,4.29052615280731e-08,1834876.26177182,1200063.29654739,20358523.3469236,0.0764051550032545,0.0687012106087576,0.786093033920187,0.0431579883375363,0.0238738927609526,0.477755860987302,0.895915028393576,4.31910137543625e-08,536.015096842689,2219.86670010089,24281.9645363497,2.06227094163991e-05,0.000163525986075085,0.000874948764208715,1.25358858598773e-05,2.25686895477454e-05,0.000591459312811013,0.939124276016894,4.27590471422968e-08
6,1,1,0,197.299515961862,70.0557185572781,24450.7034512127,1948474.27660174,3.01736699794092e-06,0.0012974115546351,0.0763394914322831,1.70678429412786e-06,0.000536466465248373,0.0456690241601292,0.993768150770221,4.309547196409e-08,1127878.56368945,1416649.94108766,57821328.3098547,0.0485851247818845,0.0741480343443801,2.26948904880406,0.0274819261614481,0.0316190401087981,1.3546756418097,0.969582084239244,4.32344985263599e-08,116.526139029483,20096.9542930855,647638.15400153,4.81939385713029e-06,0.00119489681031445,0.0248555423398917,2.73941678090576e-06,0.000373506352267049,0.0152504757846233,0.984779548452353,4.29052615280731e-08
7,1,1,0,201.163687159512,30.8054134127613,12730.0210450404,1998875.91830058,1.32176616485484e-06,0.00064256051737277,0.0789632490630689,7.7233012205789e-07,0.000294183438920636,0.0469340008015207,0.996820590984034,4.32645292362604e-08,598899.548017605,922782.424328383,72556406.5754438,0.0256968255338545,0.0464065097230015,2.86796493336857,0.0150156943270649,0.0214026245941141,1.70385899893984,0.985686850341388,4.33368532082361e-08,28.0222874229112,9780.28138048506,779389.710640695,1.20694679917637e-06,0.000518964621854041,0.0305357965729132,6.82713717651146e-07,0.000214586586099349,0.0182676096640517,0.993768150770221,4.309547196409e-08
8,1,1,0,202.293645959677,15.1807310152837,6991.53830491219,2015929.61257624,6.44541923873914e-07,0.000342629499904454,0.0799962247013422,3.89049520836138e-07,0.000165518041572277,0.0474792022353045,0.998264428859383,4.34095981024965e-08,314038.787385347,544010.861620216,78191573.685561,0.0133332799568945,0.0266100521994497,3.10374689606122,0.00804832131059471,0.0128981172656437,1.84194972679197,0.992586375525993,4.34504418496915e-08,12.3221653651045,5092.00841801615,799550.367320233,5.28706465941935e-07,0.000257024206949108,0.0315852996252276,3.08932048823156e-07,0.000117673375568254,0.0187736003206083,0.996820590984034,4.32645292362604e-08
9,1,1,0,202.685709459502,7.87960848816626,3906.75019497905,2022942.33620776,3.30475032425144e-07,0.000187363209824361,0.0805027536428402,2.05287407332759e-07,9.38375818876705e-05,0.0477993017367593,0.999032366488815,4.35346766702038e-08,166707.171653497,311721.090184887,80362420.6926692,0.00699170587739169,0.0149303482466258,3.19861313385214,0.00434328935207564,0.00749374276060775,1.8992590311886,0.996009842511693,4.35592089803656e-08,6.07229240611348,2796.61532196487,806371.845030494,2.57816769549566e-07,0.000137051799961782,0.0319984898805369,1.55619808334455e-07,6.6207216628911e-05,0.0189916808941218,0.998264428859383,4.34095981024965e-08
10,1,1,0,202.830929173524,4.2126169149173,2196.17483617111,2026108.77531906,1.7452375691194e-07,0.000103571998833833,0.0807829273702984,1.11052002813407e-07,5.32340142046883e-05,0.048023069265178,0.999456542393125,4.36421366497319e-08,89882.6380299108,176885.57185187,81213706.5869671,0.00372368935809065,0.00833369068553755,3.23847474898595,0.00236949029930995,0.00428988185925587,1.92532842517424,0.997811433653729,4.36577430907171e-08,3.1518433952665,1562.70007799162,809176.934483104,1.32190012970058e-07,7.49452839297446e-05,0.0322011014571361,8.21149629331036e-08,3.75350327550682e-05,0.0191197206947037,0.999032366488815,4.35346766702038e-08
