Tillage,CycleLength,AverageEscapeYear,FractionEscapes
0,1,15.8798803610532,0.18723
1,1,11.2737300830723,0.07343
0,2,15.9067122336733,0.18727
1,2,11.3891023881416,0.07286
0,3,15.8584445857173,0.18876
1,3,11.2759652372133,0.07019
0,4,15.7413950491328,0.18623
1,4,11.1740097289785,0.07195
0,5,15.5775285864221,0.18103
1,5,10.7818075460661,0.06838
0,6,15.6378678511938,0.1801
1,6,10.7808963997061,0.06805
0,7,15.2822512765838,0.17821
1,7,10.6944979979238,0.06743
0,8,15.4375104103048,0.18011
1,8,10.6055864287803,0.06838
0,9,15.169227343576,0.17964
1,9,10.2301132186443,0.06801
0,10,15.4223345838091,0.18393
1,10,10.4308271765899,0.06903
