Season,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
1,0.185362814182566,1853.62438763295,0.00152678002773151,0.00211726956213297,6.4473893379818e-05,5.31053936165028e-11,7.364416055165e-11,4.5669012066938e-05,3.76163239841001e-11,5.21646185856927e-11,1.55406560904452e-06,4.20289863725503e-08,99999.9881159423,0.00347826054446961,0.00246376811528278,0.00347826054446961,1.20982978529827e-10,8.56962844452991e-11,0.00246376811528277,8.56962844452991e-11,6.07015404726465e-11,4.20289863725503e-08,4.20289863725503e-08,9999.99881159423,0.000347826054446961,0.000246376811528277,0.000347826054446961,1.20982978529827e-11,8.56962844452991e-12,0.000246376811528277,8.56962844452991e-12,6.07015404726465e-12,4.20289863725503e-08,4.20289863725503e-08
2,0.0328794508570811,328.777959545345,0.004393063607897,0.0121364039238804,1.14714597915129e-05,1.62575614295842e-10,4.22135810829435e-10,8.08548704422543e-06,1.0417262087693e-10,2.99012880524765e-10,4.35923843273827e-05,4.20381488160381e-08,68468.1155676802,0.0065795851858383,0.0100395663746838,0.00240896825780003,3.03670936925037e-10,3.49202361631591e-10,0.00167547856417965,1.31008712677858e-10,2.47351644534912e-10,1.94679751887566e-07,4.20628273926705e-08,1390.21829072471,0.00114508502079863,0.00158795217159973,4.83554200348635e-05,3.98290452123771e-11,5.52331204137375e-11,3.42517590502035e-05,2.82122429880751e-11,3.91234639392695e-11,1.55406560904452e-06,4.20289863725503e-08
3,0.00974424272582167,97.3619736113612,0.0126465179213937,0.0678013199988095,3.41869103426969e-06,5.17245210175059e-10,2.35939868357601e-09,2.38541757444128e-06,2.79694202613036e-10,1.67026553361176e-09,0.00076070132357453,4.20571560927907e-08,42177.0154753178,0.0189700837632153,0.0507313274401253,0.00148823398396735,1.07886436583996e-09,1.7687673101613e-09,0.00103034666774621,2.95277774854139e-10,1.24912567568845e-09,1.42770343608592e-06,4.20718149334507e-08,246.583469659008,0.00329479770592275,0.0091023029429103,8.60359484363471e-06,1.21931710721882e-10,3.16601858122076e-10,6.06411528316907e-06,7.81294656576974e-11,2.24259660393574e-10,4.35923843273827e-05,4.20381488160381e-08
4,0.00461007068515628,45.6876410134835,0.0382197182015796,0.374843367119287,1.6115814994039e-06,1.79558749689061e-09,1.30527753348923e-08,1.11634494038809e-06,7.50887205811075e-10,9.23271485758589e-09,0.00854549261136653,4.20718814532359e-08,25455.5986046675,0.0684859245756605,0.268247459499165,0.000899475434932143,4.57986671423839e-09,9.36816138502546e-09,0.000621347790608231,7.92165159035098e-10,6.60265466671151e-09,1.1882903470438e-05,4.20766237300694e-08,73.0214802085209,0.00948488844104529,0.0508509899991071,2.56401827570227e-06,3.87933907631295e-10,1.76954901268201e-09,1.78906318083096e-06,2.09770651959777e-10,1.25269915020882e-09,0.00076070132357453,4.20571560927907e-08
5,0.00279859993336634,25.7980765993029,0.125623202927842,2.06229785823644,9.11985055036087e-07,6.96491989106708e-09,7.18708890771741e-08,6.29550627316171e-07,2.038599605471e-09,5.07860618400136e-08,0.0759347401363957,4.20848191526648e-08,15298.0975695371,0.28440800034608,1.44432997171031,0.000541151467530961,2.14984609707485e-08,5.05161716562566e-08,0.000373177344749022,2.30044544527003e-09,3.55362057950715e-08,0.000103696208252553,4.20806662155294e-08,34.2657307601126,0.0286647886511847,0.281132525339465,1.20868612455293e-06,1.34669062266796e-09,9.78958150116925e-09,8.37258705291069e-07,5.63165404358307e-10,6.92453614318942e-09,0.00854549261136653,4.20718814532359e-08
6,0.00270590571221488,15.278108385448,0.455204530341202,11.325742583747,5.40770322954337e-07,2.95263526569128e-08,3.95386228296941e-07,3.7256310700423e-07,5.66333291147408e-09,2.7870323507685e-07,0.426967779714138,4.21216128042283e-08,9185.11353206622,1.25856103964521,7.867403109908,0.000325221622781861,1.02602826116516e-07,2.7681348848997e-07,0.000223937713170311,7.23056399256327e-09,1.92957590031319e-07,0.000924131207359193,4.20848725874645e-08,19.3485574494772,0.0942174021958816,1.54672339367733,6.83988791277065e-07,5.22368991830031e-09,5.39031668078806e-08,4.72162970487128e-07,1.52894970410325e-09,3.80895463800102e-08,0.0759347401363957,4.20848191526648e-08
7,0.00730927416898697,9.14302230829795,1.63878272036617,62.3109322638505,3.23849374875872e-07,1.16662776440135e-07,2.18980608372202e-06,2.22869730933234e-07,1.63680689054568e-08,1.52779912381244e-06,0.863701729455083,4.21682915418306e-08,5512.83412244115,4.47894679442582,43.6419710807882,0.000195305140796903,3.69857696174417e-07,1.57935416088416e-06,0.000134366073245344,2.49498781150717e-08,1.05261244493581e-06,0.00825064116321099,4.20918342612945e-08,11.458581289086,0.341403397755902,8.49430693781026,4.05577742215753e-07,2.21447644926846e-08,2.96539671222705e-07,2.79422330253172e-07,4.24749968360556e-09,2.09027426307638e-07,0.426967779714138,4.21216128042283e-08
8,0.0354383427605015,5.48382260219858,5.04606468670267,343.853518967619,1.94305778363901e-07,3.6523125241977e-07,1.22336602054573e-05,1.33658822460098e-07,4.93702400760804e-08,8.37226889598075e-06,0.977406236135457,4.21912973687425e-08,3309.01657816172,9.59441413505568,244.242588792801,0.000117257932994899,7.29010043472936e-07,9.15872014284894e-06,8.06492309964522e-05,8.79469955731183e-08,5.76292232469394e-06,0.0698989701902572,4.21215521470696e-08,6.85726673122346,1.22908704027463,46.7331991978878,2.42887031156904e-07,8.74970823301012e-08,1.64235456279152e-06,1.67152298199925e-07,1.22760516790926e-08,1.14584934285933e-06,0.863701729455084,4.21682915418306e-08
9,0.191495297399775,3.2941035535788,14.1649234867506,1897.49383135827,1.168191905651e-07,1.00902263592929e-06,6.83720908087506e-05,8.02781146745522e-08,1.50548534011606e-07,4.5870392606035e-05,0.994581294572381,4.22204548467615e-08,1990.12243076897,19.1023269384467,1352.33674904163,7.05926387579714e-05,1.25832304766735e-06,5.14347375621601e-05,4.84981101400096e-05,2.78509469416816e-07,3.16551744848252e-05,0.405135503575262,4.22644758642354e-08,4.11286695164893,3.78454851502701,257.890139225714,1.45729333772926e-07,2.73923439314827e-07,9.17524515409296e-06,1.00244116845074e-07,3.70276800570603e-08,6.27920167198556e-06,0.977406236135457,4.21912973687425e-08
10,1.04737049473187,1.98835218530806,38.3780964223485,10433.3378645846,7.07932452884295e-08,2.66210935956091e-06,0.000380255198298107,4.84263219850531e-08,4.52458022790652e-07,0.00025063744976597,0.997978040991272,4.22612997777388e-08,1208.10980739612,44.0274463795415,7455.80691650215,4.30596902368907e-05,2.58505210428301e-06,0.000285309862253632,2.9418519727187e-05,8.10476483338092e-07,0.000174135160590901,0.858735482786051,4.24717280142044e-08,2.4705776651841,10.623692615063,1423.1203735187,8.76143929238248e-08,7.56766976946968e-07,5.1279068106563e-05,6.02085860059142e-08,1.12911400508704e-07,3.44027944545262e-05,0.994581294572381,4.22204548467615e-08
