Season,Tillage,ACCase,PlantDensity,SSplants,RSplants,RRplants,SSseeds,RSseeds,RRseeds,SSrhizomes,RSrhizomes,RRrhizomes
1,0,1,0.369380808522146,3693.78733706718,0.00513307206413549,0.0156150822204891,99999.9905426358,0.00372092992816529,0.00573643426456269,9999.99905426358,0.000372092992816529,0.000573643426456269
2,0,1,0.266208494440023,2658.2145265789,0.499885063021991,3.37053275831185,2814921.08820612,3.02573496431903,10.3351510960425,2400.96176909367,0.00333649684168807,0.0101498034433179
3,0,1,0.330281945195571,2529.60888839545,67.9457796994317,705.264783860835,3044228.83248236,422.824196229083,2155.24052259966,1727.83944227628,0.324925290964294,2.1908462929027
4,0,1,14.8428914873709,2306.95410086721,9371.79984940413,136750.160923437,3008926.56994028,62823.1752466479,447394.851062848,1644.24577745704,44.1647568046306,458.422109509543
5,0,1,186.961503815677,257.449473540431,39185.5840979481,1830172.00458528,2434695.70535135,1504250.24894996,37283643.2154185,1499.52016556369,6091.66990211268,88887.6046002342
6,0,1,201.914496317777,61.3178825567118,17554.124424713,2001529.5208705,1237215.3706427,1298469.78908946,75521112.6194946,167.34215780128,25470.6296636663,1189611.80298043
7,0,1,204.447772175053,25.2716944855344,8884.5916264337,2035567.85842961,594500.850420452,785291.151415701,90253059.5998114,39.8566236618627,11410.1808760634,1300994.18856582
8,0,1,205.223632058971,11.6390989683807,4721.27764564813,2047503.4038451,288281.030730011,442226.914036529,95856562.6547157,16.4266014155973,5774.98455718191,1323119.10797924
9,0,1,205.496474617814,5.66331432231694,2549.01640460177,2052410.06645922,142929.377138373,243773.490685715,98003370.288371,7.56541432944743,3068.83046967128,1330877.21249931
10,0,1,205.597854421407,2.85205472838917,1383.90843798108,2054591.78372136,72491.3695804625,133382.231236892,98838447.0369873,3.68115430950601,1656.86066299115,1334066.54319849
11,0,1,205.636749529286,1.47072020546745,752.879059057803,2055613.1455136,37484.5200567165,72780.197659215,99170468.7987673,1.85383557345296,899.540484687701,1335484.65941888
12,0,1,205.652092152721,0.771219248884948,409.89318423796,2056110.25712373,19677.7914138819,39670.7102155962,99306273.8893504,0.95596813355384,489.371388387572,1336148.54458384
13,0,1,205.658329660785,0.409227155760055,223.22309264009,2056359.66428805,10446.2443206238,21614.5286549103,99363745.5529539,0.501292511775216,266.430569754674,1336471.66713042
14,0,1,205.660954417839,0.218949722152257,121.577775297563,2056487.74745337,5590.17416506304,11774.6450760066,99389009.0181088,0.265997651244036,145.095010216058,1336633.78178724
15,0,1,205.662101784682,0.117817677313378,66.2196948242505,2056554.68033432,3008.36162163094,6413.84839899219,99400558.856258,0.142317319398967,79.0255539434157,1336717.03584469
16,0,1,205.662623521913,0.0636475054701656,36.0684202949334,2056590.10315133,1625.24715369742,3493.6210489572,99406040.8716972,0.0765814902536956,43.0428016357628,1336760.54221731
17,0,1,205.662869952943,0.0344757440575591,19.6458039646755,2056609.01924973,880.361266422862,1902.94638543466,99408730.8250042,0.0413708785556076,23.4444731917067,1336783.56704837
18,0,1,205.662990370614,0.0187082503631074,10.7007341005278,2056619.18426379,477.733070112154,1036.51179552593,99410087.6937748,0.0224092336374134,12.7697725770391,1336795.86251232
19,0,1,205.663050908363,0.0101644661216894,5.82851291603892,2056624.67040624,259.560947728218,564.573394616164,99410787.1325528,0.0121603627360198,6.9554771653431,1336802.46977146
20,0,1,205.663082034157,0.00552706357443107,3.17469577675101,2056627.64011873,141.140199818297,307.514620227559,99411153.6079403,0.00660690297909811,3.7885333954253,1336806.03576406
21,0,1,205.663098311745,0.00300708414884023,1.72920514821719,2056629.25090522,76.7896538034381,167.498414317073,99411347.9170693,0.0035925913233802,2.06355225488815,1336807.96607717
22,0,1,205.663106930526,0.00163666145879143,0.941869944351916,2056630.12579866,41.7942456943471,91.2337227288226,99411451.8135705,0.00195460469674615,1.12398334634118,1336809.01308839
23,0,1,205.663111534541,0.000891006852541658,0.51302125067209,2056630.60143316,22.7530166754856,49.6935428820065,99411507.6943565,0.00106382994821443,0.612215463828745,1336809.58176913
24,0,1,205.663114009166,0.000485150352568055,0.279434332969995,2056630.86017218,12.3889493771824,27.0672696712699,99411537.8719749,0.000579154454152078,0.333463812936858,1336809.89093155
25,0,1,205.663115344942,0.000264192648803051,0.152203334819623,2056631.00098189,6.74650693564411,14.7431028541923,99411554.2142073,0.000315347729169235,0.181632316430497,1336810.05911192
26,0,1,205.663116068086,0.000143879205558375,0.0829026790103773,2056631.0776343,3.67414545134967,8.03032856976325,99411563.0807902,0.000171725221721983,0.0989321676327549,1336810.15063823
27,0,1,205.66311646035,7.83605400504802e-05,0.0451557393338139,2056631.1193694,2.00104004451367,4.37398933666526,99411567.8975547,9.35214836129439e-05,0.0538867413567452,1336810.2004623
28,0,1,205.663116673416,4.26787435509327e-05,0.0245955957357133,2056631.14209589,1.08985824409608,2.38244078633137,99411570.5165147,5.09343510328121e-05,0.0293512305669791,1336810.22759011
29,0,1,205.663116789253,2.32453327784733e-05,0.0133968203153514,2056631.15447247,0.593600386091851,1.29767669516314,99411571.9413172,2.77411833081063e-05,0.0159871372282137,1336810.24236233
30,0,1,205.663116852268,1.26609582128132e-05,0.00729702975060025,2056631.16121299,0.323314360051879,0.706823355870214,99411572.7167611,1.51094663060076e-05,0.00870793320497841,1336810.2504071
