Cost,Het,R,WW,RW,RR
0.001,0,1.00199993423698e-05,0.999989960000859,3.99995965995806e-08,9.99999954406998e-06
0.002,0,5.02000015329229e-06,0.999994959999947,3.99998003255424e-08,5.00000025312952e-06
0.003,0,3.35333322686795e-06,0.999996626666841,3.99998644349713e-08,3.33333329465046e-06
0.004,0,2.51999971857382e-06,0.999997460000334,3.99998945322389e-08,2.4999997713077e-06
0.005,0,2.02000013823559e-06,0.999997959999901,3.99999216963778e-08,2.0000001773874e-06
0.006,0,1.68666662411168e-06,0.99999829333341,3.99999314084736e-08,1.66666665840744e-06
0.007,0,1.44857130944148e-06,0.999998531428721,3.99999385711242e-08,1.42857134015592e-06
0.008,0,1.26999990901659e-06,0.999998710000118,3.99999459494623e-08,1.24999993604185e-06
0.009,0,1.13111111410508e-06,0.999998848888909,3.99999543804023e-08,1.11111113691488e-06
0.01,0,1.02000000698701e-06,0.999998960000013,3.99999593054252e-08,1.0000000273343e-06
0.011,0,9.29090881019239e-07,0.999999050909138,3.99999612233807e-08,9.09090900407549e-07
0.012,0,8.53333311263332e-07,0.999999126666706,3.99999644754488e-08,8.33333329025607e-07
0.013,0,7.89230819430583e-07,0.999999190769195,3.99999707122573e-08,7.69230834074455e-07
0.014,0,7.34285724322632e-07,0.99999924571429,3.99999710691398e-08,7.14285738788062e-07
0.015,0,6.86666662584184e-07,0.999999293333351,3.99999720239937e-08,6.66666676572187e-07
0.016,0,6.44999921014857e-07,0.999999335000094,3.99999691855107e-08,6.24999936422102e-07
0.017,0,6.08235279212732e-07,0.999999371764734,3.99999745187519e-08,5.88235291953356e-07
0.018,0,5.7555560482719e-07,0.999999404444405,3.99999802568296e-08,5.55555614698775e-07
0.019,0,5.46315742422464e-07,0.99999943368427,3.99999746341316e-08,5.26315755105398e-07
0.02,0,5.1999998040027e-07,0.999999460000031,3.99999775202997e-08,4.9999999164012e-07
0.021,0,4.96190457590457e-07,0.999999483809553,3.99999783764774e-08,4.76190468402218e-07
0.022,0,4.74545422452045e-07,0.999999505454589,3.99999781143893e-08,4.54545433394851e-07
0.023,0,4.54782547552139e-07,0.999999525217464,3.99999762137333e-08,4.34782559445272e-07
0.024,0,4.36666634976243e-07,0.999999543333375,3.99999795015792e-08,4.16666645225454e-07
0.025,0,4.19999998972501e-07,0.99999956000001,3.99999830744386e-08,4.00000007435282e-07
0.026,0,4.04615371499537e-07,0.999999575384637,3.99999823528271e-08,3.84615380323123e-07
0.027,0,3.90370331674275e-07,0.999999589629678,3.99999802196031e-08,3.70370341564473e-07
0.028,0,3.77142840979047e-07,0.999999602857167,3.99999830137414e-08,3.57142849472176e-07
0.029,0,3.648275782112e-07,0.99999961517243,3.99999843912899e-08,3.44827586015555e-07
0.03,0,3.53333322267889e-07,0.999999626666686,3.9999984347953e-08,3.33333330093912e-07
0.031,0,3.42580621566953e-07,0.999999637419387,3.99999835390903e-08,3.22580629797408e-07
0.032,0,3.32500001542487e-07,0.999999647500005,3.99999867960799e-08,3.12500008144447e-07
0.033,0,3.2303031201958e-07,0.999999656969694,3.99999877431285e-08,3.03030318148016e-07
0.034,0,3.14117642355708e-07,0.999999665882364,3.99999865292895e-08,2.94117649091064e-07
0.035,0,3.05714302110272e-07,0.999999674285703,3.99999895906932e-08,2.85714307314925e-07
0.036,0,2.97777791055117e-07,0.999999682222214,3.99999897358646e-08,2.77777796187185e-07
0.037,0,2.90270287361643e-07,0.999999689729717,3.99999904785015e-08,2.70270292122392e-07
0.038,0,2.8315788429632e-07,0.999999696842122,3.99999870842994e-08,2.6315789075417e-07
0.039,0,2.76410206830549e-07,0.999999703589802,3.99999818008359e-08,2.56410215930131e-07
0.04,0,2.69999967302922e-07,0.999999710000041,3.99999843384175e-08,2.49999975133713e-07
0.041,0,2.63902455368044e-07,0.999999716097549,3.99999918260623e-08,2.43902459455013e-07
0.042,0,2.58095250306161e-07,0.999999721904754,3.99999913451254e-08,2.38095254633599e-07
0.043,0,2.52558125900852e-07,0.99999972744188,3.99999873566119e-08,2.32558132222546e-07
0.044,0,2.47272751211092e-07,0.999999732727252,3.99999938650859e-08,2.27272754278549e-07
0.045,0,2.42222223663713e-07,0.999999737777781,3.99999902802527e-08,2.22222228523586e-07
0.046,0,2.37391306545427e-07,0.999999742608698,3.9999990498865e-08,2.17391311295994e-07
0.047,0,2.32765928926745e-07,0.999999747234078,3.99999855085397e-08,2.12765936172475e-07
0.048,0,2.28333354117264e-07,0.999999751666649,3.99999942056469e-08,2.0833335701444e-07
0.049,0,2.24081632099151e-07,0.999999755918372,3.99999907202038e-08,2.0408163673905e-07
0.05,0,2.20000012495355e-07,0.999999759999991,3.99999934867462e-08,2.00000015751982e-07
0.051,0,2.16078423218818e-07,0.999999763921582,3.99999899043897e-08,1.96078428266623e-07
0.052,0,2.12307680629334e-07,0.999999767692325,3.99999889834952e-08,1.92307686137587e-07
0.053,0,2.08679230317947e-07,0.999999771320775,3.99999885062862e-08,1.88679236064804e-07
0.054,0,2.05185173169267e-07,0.999999774814832,3.99999891615691e-08,1.85185178588483e-07
0.055,0,2.0181817276108e-07,0.999999778181832,3.999999004044e-08,1.8181817774086e-07
0.056,0,1.98571429668458e-07,0.999999781428574,3.99999921281088e-08,1.78571433604403e-07
0.057,0,1.95438574033766e-07,0.999999784561432,3.99999872581644e-08,1.75438580404684e-07
0.058,0,1.92413773213582e-07,0.999999787586233,3.99999880403412e-08,1.72413779193411e-07
0.059,0,1.89491487524725e-07,0.99999979050852,3.99999842742315e-08,1.69491495387609e-07
0.06,0,1.86666675894917e-07,0.999999793333327,3.99999941157271e-08,1.66666678837054e-07
0.061,0,1.83934399336487e-07,0.999999796065607,3.99999865068486e-08,1.63934406083062e-07
0.062,0,1.81290298687464e-07,0.999999798709708,3.99999873074753e-08,1.61290305033726e-07
0.063,0,1.78730152182441e-07,0.999999801269852,3.99999914400991e-08,1.58730156462391e-07
0.064,0,1.76249994599674e-07,0.99999980375001,3.9999991497873e-08,1.56249998850737e-07
0.065,0,1.73846155925777e-07,0.999999806153847,3.99999935435011e-08,1.53846159154026e-07
0.066,0,1.71515140577941e-07,0.999999808484864,3.99999901512781e-08,1.51515145502302e-07
0.067,0,1.69253729086819e-07,0.999999810746275,3.9999992738851e-08,1.49253732717394e-07
0.068,0,1.67058827426631e-07,0.999999812941175,3.99999942893406e-08,1.4705883028196e-07
0.069,0,1.64927525018642e-07,0.99999981507248,3.99999903159765e-08,1.44927529860654e-07
0.07,0,1.62857131522757e-07,0.999999817142873,3.99999905206383e-08,1.42857136262438e-07
0.071,0,1.60845049288445e-07,0.999999819154957,3.99999881249322e-08,1.40845055225979e-07
0.072,0,1.58888889121336e-07,0.999999821111114,3.99999933565871e-08,1.38888892443042e-07
0.073,0,1.56986310878637e-07,0.999999823013691,3.9999995992387e-08,1.36986312882444e-07
