Cost,Het,R,WW,RW,RR
0.001,0,1.0019999747655e-05,0.999989960000453,3.99995986866784e-08,9.99999994831164e-06
0.002,0,5.0199998708685e-06,0.99999496000023,3.99997985837454e-08,4.99999997157663e-06
0.003,0,3.35333324741695e-06,0.99999662666682,3.99998650520003e-08,3.33333331489095e-06
0.004,0,2.5199999249859e-06,0.999997460000126,3.99998982855438e-08,2.49999997584313e-06
0.005,0,2.0199999748187e-06,0.999997960000066,3.99999189821407e-08,2.00000001532763e-06
0.006,0,1.68666664203825e-06,0.999998293333392,3.99999322649268e-08,1.66666667590579e-06
0.007,0,1.44857141467748e-06,0.999998531428614,3.99999422364669e-08,1.42857144355925e-06
0.008,0,1.26999994206696e-06,0.999998710000084,3.99999480379833e-08,1.24999996804797e-06
0.009,0,1.13111107470378e-06,0.999998848888948,3.99999539414672e-08,1.11111109773305e-06
0.01,0,1.01999997520287e-06,0.999998960000045,3.99999588341047e-08,9.9999999578582e-07
0.011,0,9.29090898457168e-07,0.99999905090912,3.99999627684778e-08,9.09090917072929e-07
0.012,0,8.53333317685137e-07,0.9999991266667,3.99999653016145e-08,8.3333333503433e-07
0.013,0,7.89230761722112e-07,0.999999190769254,3.99999683642598e-08,7.69230777539982e-07
0.014,0,7.3428570059523e-07,0.999999245714314,3.99999701643324e-08,7.14285715513063e-07
0.015,0,6.86666647566363e-07,0.999999293333366,3.99999718710041e-08,6.6666666163086e-07
0.016,0,6.44999988249521e-07,0.999999335000025,3.99999735373499e-08,6.25000001480846e-07
0.017,0,6.08235280467558e-07,0.999999371764732,3.99999751824503e-08,5.88235292876333e-07
0.018,0,5.75555541711907e-07,0.99999940444447,3.99999762820141e-08,5.555555535709e-07
0.019,0,5.46315771964486e-07,0.999999433684239,3.99999773679609e-08,5.26315783280505e-07
0.02,0,5.19999993577347e-07,0.999999460000017,3.99999791982755e-08,5.00000003978209e-07
0.021,0,4.96190456324513e-07,0.999999483809554,3.99999788583103e-08,4.76190466895358e-07
0.022,0,4.74545439772854e-07,0.99999950545457,3.99999802172859e-08,4.54545449664211e-07
0.023,0,4.54782596541818e-07,0.999999525217413,3.99999812858968e-08,4.34782605898869e-07
0.024,0,4.36666651500649e-07,0.999999543333358,3.99999815806014e-08,4.16666660710349e-07
