Season,Tillage,ACCase,PlantDensity,SSplants,RSplants,RRplants,SSseeds,RSseeds,RRseeds,SSrhizomes,RSrhizomes,RRrhizomes
0,0,0,207.601822977691,2076017.77020579,0.459571095285359,2.57133342071799e-08,117005428.13461,25.9143859400835,1.45060890708299e-06,1349411.55362584,0.295754935956989,1.63890876595516e-08
1,0,1,9.22181323033083,92214.1785016598,3.95380120318807,4.45321271678715e-07,117005427.850136,26.15909396831,1.47766088556469e-06,1349411.55063376,0.298721211935484,1.67136672346669e-08
2,0,1,5.96818324808206,59444.8421158957,236.98609004863,0.00427487622049387,80009352.1881365,1494.31448451451,0.0146328759433588,59939.2160260789,2.56997078207225,2.89458826591165e-07
3,0,1,6.08643353252326,43807.7074098706,17028.0837790986,28.5441362633897,58151953.7958764,107397.057651242,97.6919080153791,38639.1473753322,154.040958531609,0.00277866954332101
4,0,1,80.1883810779196,20908.7879733369,686605.419590319,94369.6032155397,42444015.9766587,6537813.58475364,493906.524794126,28475.0098164159,11068.2544564141,18.5536885712033
5,0,1,182.544038003227,2940.80793143954,918071.252523642,904428.319577185,27733526.5078355,31198765.4950606,17072600.5382246,13590.712182669,446293.522733708,61340.2420901008
6,0,1,195.466772597014,949.760425012654,614654.50473661,1339063.46080851,14125356.1439315,33742280.3214343,37176858.637714,1911.5251554357,596746.314140367,587878.40772517
7,0,1,199.323420406321,379.642537379465,419253.054393644,1573601.50713219,6711332.01490628,27841427.143296,51856948.3483695,617.344276258225,399525.428078797,870391.249525535
8,0,1,200.936830537058,163.884985278999,290973.050750273,1718231.36963503,3143960.33516956,21111109.668409,61537292.1219829,246.767649296652,272514.485355869,1022840.97963592
9,0,1,201.740177160862,73.6952998456607,203768.52112505,1813559.55518373,1476304.58464976,15486726.4790295,67892689.7707419,106.525240431349,189132.482987678,1116850.39026277
10,0,1,202.188562491465,34.0194776896136,143402.900813763,1878448.70462319,698742.149840932,11193410.8759835,72143463.2670945,47.9019448996794,132449.538731282,1178813.71086942
11,0,1,202.459633484871,16.0065316648966,101213.387059837,1923366.94125721,333873.647992446,8030910.27003387,75042090.9539087,22.1126604982489,93211.8855289462,1220991.65800508
12,0,1,202.632792104453,7.64351148994135,71566.0883310967,1954754.18920194,161031.498878687,5738958.46654929,77047763.7191897,10.4042455821828,65788.7015888939,1250188.51181719
13,0,1,202.747550530305,3.69316880205193,50663.3426437237,1976808.46949052,78327.4343434744,4091563.79602776,78449156.4779784,4.96828246846188,46517.9574152129,1270590.22298126
14,0,1,202.825448899678,1.80129378961057,35894.6346035502,1992358.05309944,38377.5884152707,2912854.85667134,79434341.3396029,2.40055972133376,32931.1727184204,1284925.50516884
15,0,1,202.879147579814,0.885131605797386,25445.1713431463,2003345.41932339,18917.8041604695,2071776.4512521,80129521.1619135,1.17084096324687,23331.5124923076,1295032.73451464
16,0,1,202.916532759411,0.437500857518599,18044.6451809029,2011120.24491235,9371.27022808889,1472639.58383549,80621170.3621457,0.575335543768301,16539.3613730451,1302174.5225602
17,0,1,202.942727745067,0.21723826633783,12799.9556174914,2016627.10459492,4660.44954767941,1046323.23455342,80969351.2422112,0.284375557387089,11729.0193675869,1307228.15919303
18,0,1,202.961159102191,0.108250338922563,9081.36369969894,2020530.11907187,2324.84712778123,743204.145263721,81216134.1149899,0.14120487311959,8319.9711513694,1310807.6179867
19,0,1,202.974163860609,0.0540879316057303,6443.94641019525,2023297.63810797,1162.51935441892,527790.78878304,81391138.0939599,0.0703627202996658,5902.88640480431,1313344.57739671
20,0,1,202.983356831518,0.027081314359398,4572.92387895204,2025260.61735491,582.379953628768,374760.16302068,81515280.6927034,0.0351571555437247,4188.56516662691,1315143.46477018
21,0,1,202.989863487853,0.0135806416684391,3245.37736078297,2026653.2439371,292.162706441962,266073.338073824,81603361.9030171,0.0176028543336087,2972.40052131883,1316419.40128069
22,0,1,202.99447279211,0.00681844129439019,2303.33502318716,2027641.38607947,146.72650386416,188894.139646535,81665865.350286,0.00882741708448541,2109.49528450893,1317324.60855912
23,0,1,202.99773996497,0.00342638932943604,1634.79643897714,2028342.59978433,73.7470354856373,134095.384920713,81710222.4545921,0.00443198684135362,1497.16776507165,1317966.90095166
24,0,1,203.000056767197,0.00172297233389167,1160.32768674185,2028840.23826226,37.0890788717345,95190.5343074855,81741703.4340974,0.00222715306413343,1062.61768533514,1318422.68985981
25,0,1,203.00170012298,0.000866835593997366,823.578510062128,2029193.4218529,18.6615186880942,67571.3786196022,81764046.9144539,0.00111993201702958,754.212996382205,1318746.15487047
26,0,1,203.002866026003,0.000436271590470752,584.567400344325,2029444.09242342,9.3928492995233,47964.9566499327,81779905.5358737,0.000563443136098288,535.326031540383,1318975.72420439
27,0,1,203.003693311266,0.000219632988844612,414.923367792937,2029622.00952523,4.7288922146523,34047.0780014337,81791161.6464632,0.000283576533805989,379.968810223811,1319138.66007522
28,0,1,203.004280383949,0.000110593023019929,294.51256833375,2029748.29116057,2.38124885242353,24167.5008781543,81799151.099561,0.000142761442748998,269.700189065409,1319254.3061914
29,0,1,203.004697022389,5.56960405829319e-05,209.045894762069,2029837.92427343,1.1992567660667,17154.611190097,81804821.9708812,7.1885464962954e-05,191.433169416937,1319336.38925437
30,0,1,203.004992720557,2.80524083437165e-05,148.381850121717,2029901.5453274,0.604039969374983,12176.6565356024,81808847.1514659,3.62024263789057e-05,135.879831595345,1319394.65077773
